Node,Rack,Row,Height
1,1,1,7
2,1,2,7
3,1,3,7
4,1,4,7
5,1,5,7
6,1,6,7
7,1,7,7
8,1,8,7
9,1,9,7
10,1,10,7
11,1,1,6
12,1,2,6
13,1,3,6
14,1,4,6
15,1,5,6
16,1,6,6
17,1,7,6
18,1,8,6
19,1,9,6
20,1,10,6
21,1,1,5
22,1,2,5
23,1,3,5
24,1,4,5
25,1,5,5
26,1,6,5
27,1,7,5
28,1,8,5
29,1,9,5
30,1,10,5
31,1,1,4
32,1,2,4
33,1,3,4
34,1,4,4
35,1,5,4
36,1,6,4
37,1,7,4
38,1,8,4
39,1,9,4
40,1,10,4
41,1,1,3
42,1,2,3
43,1,3,3
44,1,4,3
45,1,5,3
46,1,6,3
47,1,7,3
48,1,8,3
49,1,9,3
50,1,10,3
51,1,1,2
52,1,2,2
53,1,3,2
54,1,4,2
55,1,5,2
56,1,6,2
57,1,7,2
58,1,8,2
59,1,9,2
60,1,10,2
61,1,1,1
62,1,2,1
63,1,3,1
64,1,4,1
65,1,5,1
66,1,6,1
67,1,7,1
68,1,8,1
69,1,9,1
70,1,10,1
71,2,1,7
72,2,2,7
73,2,3,7
74,2,4,7
75,2,5,7
76,2,6,7
77,2,7,7
78,2,8,7
79,2,9,7
80,2,10,7
81,2,1,6
82,2,2,6
83,2,3,6
84,2,4,6
85,2,5,6
86,2,6,6
87,2,7,6
88,2,8,6
89,2,9,6
90,2,10,6
91,2,1,5
92,2,2,5
93,2,3,5
94,2,4,5
95,2,5,5
96,2,6,5
97,2,7,5
98,2,8,5
99,2,9,5
100,2,10,5
101,2,1,4
102,2,2,4
103,2,3,4
104,2,4,4
105,2,5,4
106,2,6,4
107,2,7,4
108,2,8,4
109,2,9,4
110,2,10,4
111,2,1,3
112,2,2,3
113,2,3,3
114,2,4,3
115,2,5,3
116,2,6,3
117,2,7,3
118,2,8,3
119,2,9,3
120,2,10,3
121,2,1,2
122,2,2,2
123,2,3,2
124,2,4,2
125,2,5,2
126,2,6,2
127,2,7,2
128,2,8,2
129,2,9,2
130,2,10,2
131,2,1,1
132,2,2,1
133,2,3,1
134,2,4,1
135,2,5,1
136,2,6,1
137,2,7,1
138,2,8,1
139,2,9,1
140,2,10,1
141,3,1,7
142,3,2,7
143,3,3,7
144,3,4,7
145,3,5,7
146,3,6,7
147,3,7,7
148,3,8,7
149,3,9,7
150,3,10,7
151,3,1,6
152,3,2,6
153,3,3,6
154,3,4,6
155,3,5,6
156,3,6,6
157,3,7,6
158,3,8,6
159,3,9,6
160,3,10,6
161,3,1,5
162,3,2,5
163,3,3,5
164,3,4,5
165,3,5,5
166,3,6,5
167,3,7,5
168,3,8,5
169,3,9,5
170,3,10,5
171,3,1,4
172,3,2,4
173,3,3,4
174,3,4,4
175,3,5,4
176,3,6,4
177,3,7,4
178,3,8,4
179,3,9,4
180,3,10,4
181,3,1,3
182,3,2,3
183,3,3,3
184,3,4,3
185,3,5,3
186,3,6,3
187,3,7,3
188,3,8,3
189,3,9,3
190,3,10,3
191,3,1,2
192,3,2,2
193,3,3,2
194,3,4,2
195,3,5,2
196,3,6,2
197,3,7,2
198,3,8,2
199,3,9,2
200,3,10,2
201,3,1,1
202,3,2,1
203,3,3,1
204,3,4,1
205,3,5,1
206,3,6,1
207,3,7,1
208,3,8,1
209,3,9,1
210,3,10,1
211,4,1,7
212,4,2,7
213,4,3,7
214,4,4,7
215,4,5,7
216,4,6,7
217,4,7,7
218,4,8,7
219,4,9,7
220,4,10,7
221,4,1,6
222,4,2,6
223,4,3,6
224,4,4,6
225,4,5,6
226,4,6,6
227,4,7,6
228,4,8,6
229,4,9,6
230,4,10,6
231,4,1,5
232,4,2,5
233,4,3,5
234,4,4,5
235,4,5,5
236,4,6,5
237,4,7,5
238,4,8,5
239,4,9,5
240,4,10,5
241,4,1,4
242,4,2,4
243,4,3,4
244,4,4,4
245,4,5,4
246,4,6,4
247,4,7,4
248,4,8,4
249,4,9,4
250,4,10,4
251,4,1,3
252,4,2,3
253,4,3,3
254,4,4,3
255,4,5,3
256,4,6,3
257,4,7,3
258,4,8,3
259,4,9,3
260,4,10,3
261,4,1,2
262,4,2,2
263,4,3,2
264,4,4,2
265,4,5,2
266,4,6,2
267,4,7,2
268,4,8,2
269,4,9,2
270,4,10,2
271,4,1,1
272,4,2,1
273,4,3,1
274,4,4,1
275,4,5,1
276,4,6,1
277,4,7,1
278,4,8,1
279,4,9,1
280,4,10,1
281,5,1,7
282,5,2,7
283,5,3,7
284,5,4,7
285,5,5,7
286,5,6,7
287,5,7,7
288,5,8,7
289,5,9,7
290,5,10,7
291,5,1,6
292,5,2,6
293,5,3,6
294,5,4,6
295,5,5,6
296,5,6,6
297,5,7,6
298,5,8,6
299,5,9,6
300,5,10,6
301,5,1,5
302,5,2,5
303,5,3,5
304,5,4,5
305,5,5,5
306,5,6,5
307,5,7,5
308,5,8,5
309,5,9,5
310,5,10,5
311,5,1,4
312,5,2,4
313,5,3,4
314,5,4,4
315,5,5,4
316,5,6,4
317,5,7,4
318,5,8,4
319,5,9,4
320,5,10,4
321,5,1,3
322,5,2,3
323,5,3,3
324,5,4,3
325,5,5,3
326,5,6,3
327,5,7,3
328,5,8,3
329,5,9,3
330,5,10,3
331,5,1,2
332,5,2,2
333,5,3,2
334,5,4,2
335,5,5,2
336,5,6,2
337,5,7,2
338,5,8,2
339,5,9,2
340,5,10,2
341,5,1,1
342,5,2,1
343,5,3,1
344,5,4,1
345,5,5,1
346,5,6,1
347,5,7,1
348,5,8,1
349,5,9,1
350,5,10,1
351,6,1,7
352,6,2,7
